source_genesymbol,target_genesymbol,interaction_type
Foxo3,Pik3c3,->
Nfkb1,Wnt1,->
Wnt1,Fzd7,->
Ikbkb,Ywhab,-|
Rela,Il1rn,->
Il1rn,Il1r2,->
Esr1,Tgfa,->
Tp53,Efnb3,->
Akt1,Stk3,-|
Esr1,Tgfb3,->
Myc,Il11ra1,->
Akt1,Rps6kb1,->
Rps6kb1,Crem,->
Tnfrsf8,Dscam,->
Foxo3,Hand2,->
Rela,Cd40,->
Rela,Traf6,->
Mycn,Creb5,->
Nfkb1,Hoxa9,-|
Hoxa9,Pknox1,->
Rela,Tp53bp1,->
Rela,Pdcd4,->
Yap1,Wwc1,->
Tp53,Mad1l1,-|
Tp53,Tbpl1,->
Rela,Nr3c1,-|
Tnfrsf11b,Armh4,->
Myc,Bcl2l12,->
Irf7,Nr1h4,->
Nr1h4,Klf11,->
Mycn,Sdr42e1,->
Akt1,Ndrg2,->
Akt1,Prkaa1,-|
Prkaa1,Mlxipl,-|
Foxo3,Casp1,->
Casp1,Eno1,-|
Foxo3,Sirt2,->
Rela,Parp1,->
Parp1,Kdm5b,->
Irf3,Cdk4,->
Cdk4,Gata4,->
Dapk1,Myl12b,->
Ikbkb,Tnfaip3,->
Rela,Il10,->
Il10,Cd70,->
Rela,Mapk8,->
Mapk8,Lrrfip1,->
Mycn,Ptdss1,->
Bak1,Aifm1,->
Foxo3,Smad4,->
Prkca,Icam5,->
Akt1,Mtor,->
Mtor,Ulk1,-|
Ikbke,Ikbkg,->
Mycn,Srgap2,->
Atm,Hipk2,->
Tal1,Lmo2,->
Tp53,Xaf1,-|
Rela,Epas1,->
Epas1,Msc,->
Insr,Calm1,-|
Calm1,Trpm2,->
Tbk1,Peli1,->
Rela,Lta,->
Nfatc1,Mapk1,->
Mapk1,Elk1,->
Esr1,Rarb,->
Rela,Skp2,->
Fyn,Grin2b,->
Rara,Cebpe,->
Akt1,Foxo1,->
Foxo1,Bcl2l13,->
Rela,Calm3,->
Rela,H2-Q7,->
Rela,Kitlg,->
Kitlg,Lrrn3,->
Foxo3,Hbp1,->
Foxo3,Txn,->
Nfkb2,Ngf,->
Ngf,Ngfr,->
Akt1,Runx2,->
Runx2,Zfp64,->
Casp3,Casp2,->
Ikbkb,Bbc3,->
Esr1,Prmt1,->
Prmt1,Mre11,->
Rela,Mmp2,->
Chuk,Foxa2,-|
Foxa2,Lmx1b,->
Lmx1b,Zic1,-|
Ikbkb,Tnfrsf1a,->
Rela,Il1a,->
Dapk1,Mark1,->
Tp53,Nlrp10,->
Myc,Myct1,->
Akt1,Pkm,->
Lrrk2,Map2k7,->
Map2k7,Mapk10,->
Akt1,Gata1,->
Casp3,Birc6,-|
Rela,Slc1a2,->
Csnk2a1,Nol3,->
Prkca,Cd163,->
Rel,Ltf,->
Esr1,Hoxa10,->
Ncoa1,Pawr,->
Irf3,Ctnnb1,->
Ctnnb1,Dap3,-|
Irf3,Tnf,->
Tnf,Ffar2,->
Nfkb1,Il17c,->
Esr1,Ctsd,->
Mapk1,Mafa,->
Akt1,Pea15,->
Atm,Nfat5,->
Insr,Pdgfrb,->
Stat6,Cdkn1b,->
Csnk2a1,Ssrp1,-|
Btrc,Ctnnb1,->
Ctnnb1,Dapk2,-|
Nfkb1,Fcgr1,->
Fcgr1,Lilrb3,->
Stat6,Pim1,->
Ctnnb1,Tcf7l2,->
Yap1,Sfn,->
Rela,Bcl2l11,-|
Rela,Snai1,->
Ikbke,Rel,->
Rela,Tnfsf13b,->
Tnfsf13b,Tnfrsf17,->
Esr1,Serpinb5,->
Stat6,Rhoa,->
Rela,Src,->
Gsk3b,Nfia,->
Rela,Calm1,->
Rora,Bmal1,->
Bmal1,Hlf,->
Prkca,Srf,->
Srf,Kdm4a,->
Foxo1,Maml1,->
Yap1,Sox5,-|
Rela,Myod1,->
Irf3,Irf9,->
Sqstm1,Ntrk2,->
Prkca,Grin2a,-|
Akt1,Gsk3a,-|
Gsk3a,Mafb,->
Nfatc1,Egr3,->
Esr1,Tfap2a,->
Rela,H2-D1,->
Rara,Ets1,->
Rela,Cflar,->
Rela,Creb1,-|
Creb1,Dyrk1b,->
Akt1,Htra2,-|
Calm1,Rit2,->
Rit2,Pou4f1,->
Dapk1,Stx1a,-|
Akt1,Src,->
Src,Cdh5,->
Rela,Tnf,->
Tnf,Ptprs,->
Akt1,Prkaca,->
Esr1,Ahr,->
Esr1,Esr2,->
Stat6,Klf4,->
Ctnnb1,Lef1,->
Irf3,Pml,->
Rela,Col2a1,-|
Traf2,Map3k5,->
Map3k5,Daxx,->
Casp8,Casp7,->
Cdk2,Mta1,->
Irf3,Cxcl10,->
Casp8,Ar,-|
Ar,Psca,->
Rel,E2f3,->
Akt1,Smad3,->
Rela,Jun,->
Jun,Gtf3a,->
Rela,Nr4a2,->
Nr4a2,Pitx3,->
Esr1,Ube2i,->
Ube2i,Tfap2b,->
Irf3,Il17a,->
Akt1,H2bc3,->
Rela,Junb,->
Insr,Stat5a,->
Stat5a,Ebf1,->
