Tp53,->,Tnfrsf11b
Sp3,-|,Tnfsf11
Pgr,->,Tnfsf11
E2f1,->,E2f3
Crebbp,->,Stat3
Sin3a,-|,Stat3
Puf60,-|,Myc
Nfkb1,->,Cxcr4
Nfatc1,->,Mmp9
Hipk2,->,Ctnnb1
Rela,->,Gfi1
Ksr1,->,Raf1
Smad3,-|,Il17a
Pax8,->,Tnf
Creb1,->,Ppp2ca
Stat6,->,Irf4
Tbp,->,Egfr
Aurka,->,Wwc1
Sp7,->,Tnf
Ctcf,->,Egf
Foxo1,->,Hnf4a
Mlh1,->,Pms2
Vwf,->,Tnfrsf11b
Gsk3b,->,Stat3
Akt2,-|,Foxo3
Ntrk1,->,Frs2
Csnk2a1,->,Vdr
Cebpb,->,Klf5
Myb,->,Ar
Foxo4,->,Cdkn1b
Egr1,->,Prkca
Prkcb,->,Lmnb1
Egr1,->,Il12a
Snai1,-|,Runx2
Stat5a,->,Pik3c3
Gsk3b,->,Rtn4
Jun,-|,Rara
Gsk3b,->,Stub1
Stk3,-|,Abl1
Foxo4,->,Il10
App,->,Cav1
Rps6ka3,->,Cd44
Myog,->,Akt2
Btc,->,Erbb2
Mapk9,->,Adam17
Rock1,->,Ppp1r12a
Egr1,->,Egfr
Pax8,->,Rb1
Ahr,->,Apaf1
Tp53,->,Pidd1
Hif1a,->,Ntrk2
Usf1,->,Usf2
Prkaca,-|,Pin1
Mapk9,->,Bcl2l1
Hif1a,->,Mapk14
Camk2g,->,Map3k7
Ep300,->,Smad7
Ppard,->,Ppara
Sdc4,->,Fyn
Prkaa1,-|,Ddit3
Vwf,->,Sirpa
Stat3,->,Icos
Cd160,->,Tnfrsf14
Acvrl1,->,Tgfbr1
Stat5a,->,Nr3c1
Ywhae,->,Tbp
Notch1,->,Chuk
Atf4,->,Sirt1
Prlhr,->,Gnao1
Hnf4a,->,Pitx2
Rps6ka3,->,Mdm2
Csnk2a1,->,Ehmt2
Rxra,->,Bmal1
Bax,-|,Bad
Lyn,->,Bcar1
Nlk,->,Pxn
Prkd2,->,Set
Yap1,->,Tead1
Fgfr1,->,Pdp1
Tnfrsf11a,->,Pdcd1lg2
Ikbke,->,Akt1
Csnk1e,->,Bid
Ascl1,->,Ptf1a
Xbp1,->,Ern1
Sall4,->,Hoxa9
