source_genesymbol,target_genesymbol,interaction_type
Rora,Nr1d2,->
Esr1,Txn,->
Egfr,Fgfr1,->
Erbb2,Pik3r1,->
Pik3r1,Pik3cg,->
Esr1,Myc,->
Myc,Ntn3,->
Ntn3,Neo1,->
Cdk1,Runx2,->
Runx2,Zfp64,->
Sp1,Nfatc1,->
Csnk2a1,Pax3,->
Crebbp,Stat6,->
Foxl2,Il11,->
Runx3,Lilrb3,->
Egfr,Calm1,->
Calm1,Trpm2,->
Plcg1,Syk,->
Syk,Pax5,-|
Cdk1,Kmt2a,->
Kmt2a,Hoxa9,->
Hoxa9,Pknox1,->
Esr1,Ifng,->
Esr1,Hoxa10,->
Nfe2l2,Gsk3b,->
Egfr,Gnai1,->
Tp53,Ei24,->
Tp53,Irf5,->
Pak1,H3c6,->
Pik3r1,Akt1,->
Akt1,Bcl10,->
Cdk1,Pik3c3,-|
Cdk1,Fadd,->
Mapk3,Grhl1,->
Cdk1,Ube2i,->
Ube2i,Hsf2,-|
Ube2i,Tfap2b,->
Gata2,Tnfrsf19,->
Tp53,Ccr6,->
Kat5,Sox5,->
Ctnnb1,Ascl1,->
Egfr,Calm2,->
Cdk1,Mapk6,->
Nfe2l2,Nrp1,->
Cdk1,Nes,->
Egfr,Stat5a,->
Stat5a,Pim2,->
Plcg1,Prkca,->
Esr1,Birc3,->
Cdk1,Cebpb,->
Cebpb,Il15,->
Creb1,Nfkbiz,->
Sp1,Usf2,->
Cdk1,Kat7,->
Nfe2l2,Mapk14,->
Egfr,Prkdc,->
Ikbkb,Tnfaip3,->
Myc,Dffa,->
Ctnnb1,Foxo4,->
Pak1,Raf1,->
Raf1,Klf10,->
Esr1,Rarb,->
Mycn,Ssh1,->
E2f1,Rela,->
Rb1,Hbp1,->
Tp53,Phlda3,->
Cdk1,Mcm3,->
Cdk1,Il16,->
Esr1,Ahr,->
Ahr,Cd2,->
Cd2,Cd48,->
Prkaca,Ywhah,->
Cdk1,Jund,->
Ctnnb1,Smc3,->
Smc3,Mxi1,-|
Pak1,Mapk1,->
Sp1,Hsd17b7,->
Src,Wwox,->
Cdk1,Nfib,->
Nfib,Nfic,-|
Cdk1,Bcl2l11,->
Esr1,Socs3,->
Socs3,Stat4,->
Cdk1,Dnmt1,->
Dnmt1,Cd70,->
Stat3,Pim1,->
Tnf,Psip1,->
Egfr,Pparg,->
Cdk1,Nr5a1,->
Mapk8,Atf2,->
Sp1,Gdf15,->
Ntrk1,Tie1,->
Tie1,Lrfn5,->
Esr1,Gapdh,->
Gapdh,Apex1,->
Ctnnb1,Bik,->
Ctnnb1,Casp3,-|
Myc,Myct1,->
Tp53,Gzma,->
Runx1,Il19,->
Esr1,Litaf,->
Cdk1,Stub1,->
Stub1,Dnaja3,->
Erbb2,Dlg4,->
Dlg4,Grin2b,->
Esr1,Xbp1,->
Cebpb,Rbpj,->
Rbpj,Dlx4,-|
Socs3,Traf6,-|
Egfr,Ikbke,->
Ikbke,Tank,-|
Stat5a,Il18r1,->
Esr1,Tnfrsf11a,->
Tnfrsf11a,Pdcd1lg2,->
Esr1,Skp2,->
Sp1,Ctsb,->
E2f1,Fgfr2,->
Fgfr2,Negr1,->
Cdk1,Afdn,->
Afdn,Nrxn3,->
E2f1,Gabarapl1,->
Mycn,Xrcc3,->
Cdk1,Mcm4,-|
Ctnnb1,Foxa2,->
Foxa2,Eomes,->
Stat3,Il17f,->
Socs3,Il6ra,-|
Esr1,Ywhaq,->
Cdk1,Stat3,->
Stat3,Stk35,->
Mycn,Apbb3,->
Cdk1,Nfatc3,->
Nfatc3,Cd40lg,-|
Csnk2a1,Faf1,-|
Myc,Pdik1l,->
Cdk1,Pou2f1,->
Mapk8,Mafb,->
Kmt2a,Hoxc8,->
Nfkb1,Il17c,->
Cdk1,Rps6ka4,->
Rps6ka4,Atf1,->
Prkca,Vtn,->
Mapk8,Itch,->
Esr1,Dlc1,->
Ctnnb1,Tnfrsf11b,->
Tnfrsf11b,Gpc6,->
Ctnnb1,Pax8,->
Pax8,Nupr1,-|
Esr1,Fgf2,->
Fgf2,Fgfrl1,->
Cebpb,Il18bp,->
Esr1,Il1a,->
Ctnnb1,Sox10,->
Sox10,Egr2,->
Ikbkb,Ywhab,-|
Bax,Endog,->
Esr1,Col2a1,->
Neurod1,Ntrk2,->
E2f1,Hdac1,->
Esr1,Fos,->
Esr1,Gata3,->
Ntrk1,Ngf,->
Ngf,Ngfr,->
Esr1,Nfe2l2,-|
Nfe2l2,Gnai2,->
Cdk1,Crem,->
Tp53,Ywhag,->
Erbb2,Erbb4,->
Erbb4,Adam17,->
Adam17,Ptprf,-|
Prkca,Icam5,->
Esr1,Ptprg,->
Ptprg,Il1rapl1,->
Cdk1,Map1b,->
Tp53,Tnfsf14,->
Src,Sh3glb1,->
Esr1,Sumo1,->
Sumo1,Elf4,-|
Tnf,Ltbr,->
Nfkb1,Tnfrsf4,->
Esr1,Nrf1,->
Gapdh,Rheb,-|
Rheb,Fkbp8,-|
Cdk1,Mapk10,->
Mapk10,Nfia,->
Cdk1,Hif1a,->
Hif1a,Bnip3,->
Ikbkb,Tbk1,->
Esr1,Flt1,-|
Flt1,Trem2,->
