source_genesymbol,target_genesymbol,interaction_type
Nr3c1,Tgfb1,-|
St18,Tnf,->
St18,Il6,->
Il6,Musk,->
Musk,Wnt11,->
Wnt11,Fzd7,->
Gsk3b,Ndrg1,->
Mapk14,Junb,->
Nr0b2,Nr1i2,->
Il6,Hrh1,->
Hrh1,Gnai1,->
Traf2,Ticam1,->
Ticam1,Ikbke,->
Csnk2a2,Egr2,->
Gnai1,Hck,->
Ticam1,Tbk1,->
Ar,Serpinb5,-|
Hrh1,Gnai3,->
Adam17,Tgfa,->
Il6st,Tyk2,->
Akt1,Mtor,->
Akt1,Stk4,-|
Nr0b2,Esr2,-|
Il6ra,Mag,->
Traf2,Map3k1,->
Rps6ka3,Ppp1r14a,->
Smad1,Krt14,->
Akt1,Prkd1,->
Akt1,Tal1,-|
Akt1,Pkm,->
Smad1,Tcf7l2,->
Crebbp,Arnt,->
Hand2,Gnai1,-|
Gnai1,Src,->
Hand2,Sox9,-|
Sox9,Mapk3,->
Hand2,Gata4,->
Gata4,Tp53,->
Hand2,Phox2b,->
Phox2b,Fos,->
Fos,Tnfsf13b,->
Tnfsf13b,Tnfrsf17,->
Hand2,Cops5,->
Cops5,Myc,->
Gata4,Cebpb,-|
Cebpb,Irf9,->
Hand2,Fn1,->
Fn1,Tnfrsf11b,->
Hand2,Gli3,-|
Gli3,Mycn,-|
Sox9,Pdx1,->
Gata4,Ar,->
Gata4,Sirt1,->
Sox9,Twist1,->
Gata4,Ep300,->
Ep300,Runx1,->
Myc,Bax,->
Hand2,Sfrp1,->
Sfrp1,Wnt1,->
Fos,Il13,->
Cops5,Mdm2,->
Cops5,Fos,->
Fos,Rb1,->
Hand2,Msx1,->
Msx1,Vdr,-|
Gata4,Id2,->
Fos,Cdk5,->
Myc,Rara,->
Sox9,Mapk1,->
Hand2,Phox2a,->
Phox2a,Gata2,->
Sox9,Runx2,-|
Runx2,Smad6,->
Cops5,Hif1a,->
Fos,Esr1,->
Sox9,Cdkn1a,->
Sox9,Nfia,->
Nfia,Nr1h3,->
Cdk5,Htra2,->
Cops5,Cdkn1b,-|
Cops5,Jun,->
Fos,Csnk2a1,->
Phox2a,Prkaca,->
Sox9,Mitf,->
Mitf,Prkcb,->
Hif1a,Mcl1,->
Myc,Casp8,-|
Hand2,Tnfrsf1b,->
Tnfrsf1b,Traf2,->
Sox9,Junb,-|
Hand2,Il6,->
Msx1,Dkk1,-|
Phox2b,Pax6,-|
Sox9,Bhlhe40,-|
Bhlhe40,Bmal1,->
Sox9,Sox2,->
Runx2,Nfatc2,->
Fos,Rhoa,->
Gata4,Yy1,->
Sox9,Ctnnb1,-|
Hand2,Hand1,->
Msx1,Notch3,->
Fos,Nfkb1,-|
Hif1a,Pak1,->
Sox9,Pax3,-|
Pax3,Usf1,->
Gli3,Gli1,->
Cops5,Smad4,->
Smad4,Dapk1,->
Sox9,Lef1,->
Gata4,Cdk4,->
Fn1,Flt4,->
Gata4,Hnf4a,->
Fos,Fas,->
Msx1,Tbp,-|
Tbp,Taf1,->
Fos,Il10,->
Sox9,Hes1,->
Hand1,Ntrk1,->
Myc,Igf1r,->
Sox9,Gli2,->
Gli2,Krt17,->
Fos,Il1b,->
Fos,H2-T23,->
Cops5,Ncoa1,->
Gata4,Nfya,->
Gata4,Bcl2l11,-|
Fos,Smad7,->
Phox2b,Ret,->
Ret,Akt1,->
Fos,Tp53bp1,->
Csnk2a1,Eif4g2,->
Fos,Tnf,->
Fos,Foxo3,->
Hnf4a,Hnf1a,->
Hand2,Bmp2,->
Bmp2,Bmpr1a,->
Bmpr1a,Smad1,->
Sox9,Cdh5,->
Mycn,Kdm5b,-|
Hand2,Emx2,->
Emx2,Rassf1,->
Mycn,Uvrag,->
Gli2,Rorc,-|
Mycn,Mcm7,->
Src,Grin2a,->
Gata4,Sumo1,->
Ar,Txn,->
Gata4,Fgfr1,->
Prkaca,Pik3cg,->
Bmp2,Rgmb,->
Prkaca,Nfatc1,-|
Ep300,Stat6,->
Hif1a,Il11,->
Fos,Spi1,-|
Spi1,Lilrb3,->
Fos,E2f1,->
Fos,Ifng,->
Phox2b,Alk,->
Alk,Gsk3b,->
Ncoa1,H3c6,->
Ikbkb,Bcl10,->
Pdx1,Pik3c3,->
Hand2,Col2a1,-|
Tnfrsf10b,Fadd,->
Hif1a,Hsf1,->
Sox9,Snai2,->
Sox10,Ascl1,->
Emx2,Egfr,-|
Gli2,Mapk6,-|
Hand2,Nrp1,->
Sox9,Nes,->
Hif1a,Foxp3,->
Jun,Prkca,->
Myc,Cdk1,->
Fos,Mapk14,->
Sox9,Pitx2,->
Pitx2,Tnfaip3,->
Ncoa1,Klf10,->
Vdr,Rarb,->
Fos,Rela,->
Gata4,Cd2,->
Hand2,Tspoap1,->
Tspoap1,Rims1,-|
Rims1,Ywhah,->
Fos,Sp3,->
Sp3,Nfic,->
Cops5,Tyk2,->
Prkaca,Pim1,->
Hif1a,Pparg,->
Sox9,Nr5a1,->
Msx1,Myod1,-|
Gata4,Tie1,->
Gli3,Bcl2,->
Hif1a,Casp3,->
Myc,Egr1,->
Src,Grin2b,->
Msx1,Dlx2,-|
Dlx2,Dlx4,->
Fos,Il18,->
Stat6,Pdcd1lg2,->
Myod1,Ctsb,->
Sox9,Btn1a1,->
Btn1a1,Negr1,->
Pax6,Eomes,->
Fos,Nfatc1,->
Gata4,Agtr1a,->
Agtr1a,Ywhaq,->
Ret,Stat3,->
Prkaca,Pou2f1,->
Myod1,Mafb,->
Prkaca,Vtn,->
Prkaca,Itch,->
Cdk5,Dlc1,->
Ret,Atf4,->
Gata4,Fgf2,->
Cebpb,Il1a,->
Sox9,Ntf3,->
Ntf3,Ntrk2,->
Bmp2,Smo,->
Smo,Gata3,->
Hand2,Ngfr,->
Smo,Gnai2,->
Myc,Nfe2l2,->
Pax6,Notch1,->
Sox9,Adam17,->
Clu,Trem2,->
Sp3,Dnmt3b,->
Sox9,Dcc,->
Prkaca,Pin1,-|
Gata4,Hp,->
Hp,Cd163,->
Sox9,Klf4,->
Klf4,Cxcl10,-|
Hif1a,Il17a,->
Gata4,Bcl2l1,->
Ctnnb1,Krt5,->
Fos,Ddit3,->
Vdr,Tnfrsf21,->
Sox9,Neurog3,->
Gata4,Tal1,->
Tal1,Lmo2,->
Ar,Il18,->
Myc,Faslg,->
Pax6,Tnfsf11,->
Ret,Mapk9,->
Mapk9,Mark2,->
Fos,Myb,->
Fos,Il12b,->
Myc,Birc5,->
Pitx2,Tbx21,->
Myc,Snai1,->
Fos,Casp9,->
Gli3,Hoxd13,->
Hoxd13,Casp8ap2,->
Fn1,Cd44,->
Fos,Ciita,->
Mycn,Tjp1,->
Hand2,Th,->
Fos,Traf6,->
Gata4,Cebpd,-|
Gnai1,Mmp2,->
Junb,Tnfrsf8,->
Gata4,Nr2f2,->
Nr2f2,Nr2f1,->
Sumo1,Pml,->
Gata4,Mafk,->
Gata4,Bcl2,->
Fn1,Sdc2,->
Hif1a,Sp1,-|
Fos,Ccl12,->
Phox2a,Ncam1,->
Gata4,Gata6,->
Fos,Il1rn,->
Sox9,Furin,->
Furin,Dsg3,->
Myc,Cebpe,-|
Ncoa1,H3c11,->
Fos,Btk,->
Phox2b,Isl1,->
Isl1,Ppara,->
Myc,Cebpa,-|
Fos,Nr4a1,->
Fos,Fasn,->
Ret,Ptk2,->
Smo,Gnai3,->
Pax6,Cdkn2a,->
Nfia,Tnfrsf14,->
Fgf2,Thbs1,-|
Gli3,Fst,->
Fst,Inhba,-|
Sox9,Ccnd1,->
Prkaca,Capn1,->
Emx2,Pcna,-|
Nr2f2,Tfap2a,->
Prkaca,Mtor,->
Phox2b,Olig2,-|
Olig2,Aurka,->
Ret,Mapk8,->
Gata4,Ccnd2,->
Sirt1,Relb,-|
Myc,Cdk2,->
Gnai1,Fgr,->
Fgr,Ripk2,->
Gnai1,Rac1,->
Rac1,Rock1,->
Rassf1,Stk4,->
Mycn,Slc1a2,-|
Fos,Nr3c1,-|
Neurog3,Pax4,->
Hand2,Fbn1,->
Fbn1,Tgfb1,->
Hif1a,Ncor2,->
Ncor2,Pou2af1,->
Ncoa1,Stat5a,->
Gata4,Nanog,->
Nanog,Cul3,->
Gata2,Gfi1b,->
Gata4,Myog,->
Fos,Abcb1a,->
Jun,Il7r,->
Fn1,Itga3,->
Hand2,Dbh,->
Smad4,Nkx2-1,->
Myc,Gata1,-|
Gata4,Mef2c,->
Fos,Ilk,->
Ilk,Myl12b,->
Smad4,Tnfsf13b,->
Prkaca,Ppp1r12a,->
Tnfrsf10b,Ripk1,->
Fos,Egf,->
Msx1,Pitx1,-|
Pitx1,Irf7,-|
Smad4,Tnfsf10,->
Myc,Ccne1,->
Fos,Ets1,->
Jun,Il12a,->
Fos,App,->
Gli1,Cdc14a,->
Fos,Hmox1,->
Myc,Cav1,-|
Gnai1,Lyn,->
Hnf4a,Pea15,-|
Gata4,Pkd1,->
Pkd1,Ppp1r14a,->
Vdr,Krt14,->
Bcl2l11,Bcl2l2,-|
Mycn,Rcc1,->
Myc,Tp73,->
Hand1,Il4,->
Fos,Lck,->
Mapk9,Lmnb1,->
Ncoa1,Ltf,->
Hand1,Twist2,->
Jun,Dido1,->
Gli3,Cdk6,-|
Smad4,Mef2a,->
Gata4,Dll1,->
Tgfb1,Tgfbr1,->
Hif1a,Xiap,->
Sox9,Sf1,->
Sf1,Fus,-|
Sox9,Bmi1,->
Cop1,Tp53,-|
Cop1,Cebpb,-|
Cebpb,Irf4,->
Cebpb,Pdx1,->
Cebpb,Foxo1,->
Cebpb,Il13,->
Cebpb,Hsp90aa1,->
Cebpb,Rara,->
Cebpb,Hsf1,->
Cop1,Mta1,-|
Mta1,Esr1,-|
Cebpb,Nr1h3,->
Bid,Htra2,->
Atf3,Becn1,-|
Nfya,Junb,->
Cebpb,Tnfrsf1a,->
Cebpb,Tfap2a,->
Mta1,Bmal1,->
Tp53,Met,-|
Met,Rhoa,->
Cebpb,Ikbkb,->
Tp53,Fhl2,->
Fhl2,Hand1,-|
Cebpb,Ddit3,->
Cop1,Nlrp1b,-|
Nlrp1b,Cycs,->
Dnmt1,Runx3,->
Atf3,Epas1,->
Ets1,Flt4,->
Cebpb,Tnfaip6,->
Cebpb,Creb1,->
Cebpb,Il10,->
Tp53,Abl2,->
Abl2,Nfkbib,->
Cebpb,Spi1,->
Cebpb,Stat3,->
Bid,Diablo,->
Hif1a,Smad4,->
Cop1,Casp1,-|
Cebpb,H2-T23,->
Nfyb,Hoxb7,->
Cebpb,Bcl2a1,->
Mta1,Smad7,-|
Cebpb,Tnf,->
Ep300,Smad1,->
Hif1a,Cdh5,->
Casp1,Parp1,->
Cebpb,Mapk1,->
Nr1d1,Rorc,-|
Cebpb,Rora,->
Cebpb,Fgfr1,->
Tp53,Hras,->
Hras,Pik3cg,->
Cebpb,Runx2,-|
Cebpb,Stat6,->
Nfkb1,Hoxa9,-|
Cebpb,Gsk3b,-|
Tp53,Hgf,->
Cebpb,Prkca,->
Cebpb,Mcm3,->
Tp63,Il16,->
Jun,Jund,->
Mapk8,Nfic,->
Nfkb1,Stat4,->
Sp1,Pim1,->
Cebpb,Pparg,->
Ep300,Nr5a1,->
Rb1,Atf2,->
Rb1,Myod1,->
Tp53,Col18a1,->
Col18a1,Ptprs,->
Dapk1,Grin2b,->
Cebpb,Xbp1,->
Cebpb,Ikbke,->
Cebpb,Fgfr2,->
Cebpb,Mafb,->
Prkcg,Vtn,->
Cebpb,Atf4,->
Mycn,Fgfrl1,->
Hif1a,Ntrk2,->
Mta1,Hdac1,->
Tp63,Gata3,->
Cebpb,Ngfr,->
Cebpb,Gnai2,->
Jun,Crem,->
Vegfa,Tyro3,->
Csnk2b,Cd163,->
Cebpb,Il17a,->
Tp53,Ppm1d,->
Ppm1d,Rps6ka3,-|
Cebpb,Tnfsf11,->
Atf3,Gclc,-|
Cebpb,Mafa,->
Casp1,Lmna,->
Mta1,Snai1,->
Prkaca,Gli3,->
Cebpb,Cd44,->
Cebpb,Ciita,->
Tp63,Ahr,->
Cop1,Nlrc4,-|
Birc3,Birc2,->
Cebpb,Zfp36,->
Nfkb1,Nr4a2,->
Tgfb1,Pax8,-|
Cebpb,Srebf1,->
Cebpb,Il1rn,->
Vdr,Rxra,->
Cebpb,Foxa1,->
Foxa1,Lmx1b,->
Cebpb,Bad,->
Mta1,Tgm2,->
Cebpb,Sp1,->
Cebpb,Ccl12,->
Tfap2a,Crabp2,->
E2f4,Tbx2,-|
Dnmt1,Irf8,->
Cebpb,Dsc2,->
Cebpb,Cebpe,->
Tfap2a,Tfap2d,->
Tfap2d,Pou4f1,->
Birc3,Traf2,-|
Cebpb,Btk,->
Tp63,Ppara,->
Cebpb,Cebpa,->
Cebpb,Nr4a1,->
Col18a1,Gpc1,->
Tp53,Bdkrb2,->
Bdkrb2,Gnai3,->
Ptk2,Src,->
Cebpb,Mtor,->
Vdr,Relb,->
Nfya,Sp3,->
Cebpb,Prkaa1,->
Cebpb,Ptk2b,->
Ptk2b,Tgfb1i1,->
Vdr,Tgfb2,->
Nfkb1,Slc1a2,->
Cebpb,Map3k14,->
Myc,Elk1,->
Nfyb,Gfi1b,->
Ep300,Ncoa3,->
Hif1a,Esr2,->
Ep300,Mef2c,->
Cd70,Tnfrsf13b,->
Casp1,Fgf2,->
Cebpb,Rps6ka1,->
Cebpb,Stat5b,->
Cebpb,Cebpd,->
Nfkb1,Irf7,->
Vdr,Hdac3,->
Nfya,Lef1,->
Myc,Mybl2,->
Nfkb1,Traf1,->
Lif,Il6st,->
Tp53,Map2k1,->
Map2k1,Tal1,-|
Tfap2a,Ltf,->
Ep300,Mef2a,->
Tp53,Cdx1,-|
Cdx1,Dll1,->
Hif1a,Arnt,->
Hif1a,Nbn,-|
Cebpb,Xiap,->
Jun,Cflar,-|
Casp1,Ar,-|
Foxl2,Fos,->
Fos,Prkaca,->
Prkaca,H2-K1,->
Foxl2,Sox9,-|
Foxl2,Atf3,->
Atf3,Tp53,-|
Atf3,Crebbp,->
Foxl2,Sirt1,->
Sirt1,Rela,-|
Rela,Tnfrsf11b,->
Ncor2,Mycn,->
Sirt1,Foxo1,->
Sox9,Hand2,->
Atf3,Twist1,->
Foxl2,Ppargc1a,->
Ppargc1a,Foxo3,-|
Foxo3,Runx1,->
Atf3,Bax,->
Atf3,Wnt2,->
Fos,Ctsd,->
Sirt1,Kat5,->
Foxl2,Ccnd2,-|
Sirt1,Tp53,-|
Fos,Cebpb,->
Foxo3,Id2,->
Ppargc1a,Nfkb1,-|
Nfkb1,Hsp90aa1,->
Foxl2,Tnfaip3,->
Tbk1,Irf3,->
Ncor2,Rara,->
Atf3,Mapk8,->
Atf3,Mapk1,->
Foxl2,Nr5a2,->
Nr5a2,Prmt1,->
Prmt1,Smad6,-|
Sirt1,Hsf1,->
Sirt1,Akt1,->
Akt1,Chuk,->
Sirt1,Ndrg1,->
Fos,Cdkn1a,-|
Fos,Tcf3,->
Foxl2,Ube2i,->
Ube2i,Pparg,-|
Foxo3,Cdkn1b,->
Tnfaip3,Becn1,-|
Fos,Myc,->
Foxl2,Lats1,->
Lats1,Incenp,->
Incenp,Plk1,->
Sirt1,Xpc,-|
Xpc,Ddb1,->
Sirt1,Ccar2,-|
Sirt1,Mcl1,->
Foxo3,Casp8,->
Fos,Junb,->
Fos,Il6,-|
Foxo3,Dkk1,->
Sirt1,Pax6,-|
Foxo3,Tnfrsf1a,->
Ube2i,Bmal1,->
Fos,Fn1,->
Mapk8,Nfatc2,-|
Tnfaip3,Ikbkb,-|
Sox9,Ar,->
Foxo3,Kitlg,-|
Foxl2,Gnrhr,->
Sirt1,Notch1,-|
Atf3,Ddit3,->
Sirt1,Ezh2,-|
Ppargc1a,Cycs,->
Sirt1,Gli1,->
Foxo1,Dapk1,->
Sirt1,Tp73,->
Fos,Vegfd,->
Vegfd,Flt4,->
Nr5a2,Nr0b2,->
Ppargc1a,Igf1,->
Igf1,Igf1r,->
Fos,Brca1,->
Ube2i,Smad4,->
Foxl2,Bcl2a1,->
Prkaca,H2-Q7,->
Sirt1,Smad7,->
Atf3,Tnf,->
Sirt1,Foxo3,-|
Nr5a2,Hnf1a,->
Sirt1,Hif1a,->
Atf3,Egr1,->
Mapk8,Rtn4,->
Fos,Calm1,->
Calm1,Grin2a,-|
Sirt1,Srf,->
Ube2i,Sumo1,->
Ppargc1a,Gabpa,->
Foxo3,Fgfr1,->
Atf3,Irs1,-|
Fos,Ptpn6,->
Foxo3,Gsk3b,->
Gnrhr,Gnai1,->
Sirt1,H3c6,-|
Cdk5,Pik3c3,-|
Tnfaip3,Ripk1,-|
Ripk1,Fadd,->
Foxl2,Ccl20,->
Ccl20,Ccr6,->
Fos,Calm2,->
Atf3,Map2k1,->
Sirt1,Nfe2l2,-|
Sirt1,Stat5a,-|
Epas1,Usf2,->
Ppargc1a,Cdkn1a,->
Sirt1,Foxo4,->
Bmal1,Klf10,->
Nr0b2,Rarb,->
Fos,Jund,-|
Ube2i,Tfap2c,->
Tfap2c,Wwox,->
Foxo3,Bcl2l11,->
Foxl2,Ptgs2,-|
Sirt1,Cdh1,-|
Fos,Bcl2,->
Foxo3,Casp3,->
Fos,Litaf,->
Mapk14,Stub1,->
Csnk2a1,Grin2b,-|
Sirt1,Xbp1,-|
Ppargc1a,Nrf1,->
Nrf1,Tnfrsf11a,->
Traf6,Tnfrsf11a,->
Akt1,Skp2,->
Ppargc1a,Fgf21,->
Fgf21,Fgfr4,->
Fgfr4,Nrxn3,->
Il11,Il6ra,->
Csnk2a1,Ywhaq,-|
Foxo1,Stat3,-|
Nr5a2,Prkaa1,->
Csnk2a1,Vtn,->
Atf3,Atf4,->
Fos,Fgf2,->
Fos,Il1a,->
Sox9,Col2a1,->
Ube2i,Hdac1,->
Nfkb1,Gata3,->
Fos,Ngf,->
Foxl2,Cxcl2,->
Cxcl2,Mtnr1a,->
Fos,Crem,->
Fos,Jun,->
Fos,Nrf1,->
Foxl2,Clu,->
Ube2i,Sp3,->
Fos,Vegfa,->
Fos,Pin1,->
Ube2i,Cebpa,-|
Nfkb1,Il17a,->
Fos,Bcl2l1,->
Smad7,Krt5,->
Tnfaip3,Tradd,->
Csnk2a1,Ace2,->
Foxo3,Faslg,->
Fos,Txnip,->
Foxl2,Ier3,->
Ier3,Ppp2r5c,-|
Ppp2r5c,Camk1,-|
Camk1,Mark2,->
Sirt1,Mef2c,->
Fos,Calm3,->
Foxo3,Birc5,-|
Fos,Prdm1,->
Foxl2,Amh,-|
Amh,Egfr,->
Nfkb1,Snai1,->
Fos,Mdm2,->
Sirt1,Foxp3,->
Ube2i,Tdg,-|
Tdg,Dnmt3a,-|
Fos,Cd44,->
Ube2i,Arnt,->
Arnt,Ahr,->
Tradd,Birc2,->
Fos,Th,->
Bcl2l1,Vdac1,-|
Gnrhr,Gnai3,->
Ppp2r5c,Creb1,-|
Atf3,Mmp2,-|
Sp3,Tnfrsf8,->
Nfat5,Enpp2,->
Sirt1,Srebf1,->
Nr5a2,Il1rn,->
Sirt1,Nr0b2,-|
Nr0b2,Rxra,->
Fos,Foxa1,->
Ppp2r5c,Bad,->
Fos,Prkcg,->
Nfkb1,Sp1,->
Fos,Nqo1,->
Csnk2a1,Mndal,->
Foxo3,Tgfbr2,->
Foxo3,Cxcr4,->
Fgfr4,Nrxn2,->
Ube2i,Mitf,-|
Hdac1,Fli1,->
Cdk5,Prkn,->
Mapk8,Cebpe,->
Ube2i,Daxx,->
Sirt1,H3c11,-|
Fos,Serpinb5,->
Tradd,Traf2,->
Bmal1,Ppara,->
Sirt1,Ep300,-|
Fos,Odc1,->
Ube2i,Sox6,-|
Fos,Bmp2,->
Nr5a2,Cdkn2a,->
Prkaca,H2-D1,->
Foxl2,Inhba,->
Nr5a2,Nos1,->
Fos,Ezr,->
Ezr,Capn1,-|
Nfkb1,Dnmt1,->
Foxo3,Src,->
Gabpa,Aurka,->
Traf6,Ripk2,->
Trem2,Tnfrsf12a,->
Fos,Pdgfra,-|
Pdgfra,Pdgfrb,->
Nr5a2,Hnf4a,->
Inhba,Smad3,->
Tnfsf13b,Map3k14,->
Inhba,Tgfbr3,->
Csnk2a1,Mapk9,->
Fos,Pgr,->
Fos,Myog,->
Fos,Il7r,->
Csnk2a1,Mnda,->
Fos,Plau,->
Plau,Itga3,->
Fos,Dbh,->
Lats1,Ppp1r12a,->
Prkaca,H2-Q10,->
Sox9,Cebpd,-|
Ube2i,Irf7,-|
Nr5a2,Ccne1,->
Fos,Maf,->
Cd40lg,Cd40,->
Atf3,Kras,->
Kras,Rassf1,->
Ilk,Ppp1r14a,->
E2f1,Mybl2,->
Tfap2c,Krt14,->
Il11,Il6st,->
Hsf2,Dach1,->
Atf3,Nfkb2,->
Pitx2,Twist2,->
Atf3,Apob,->
Apob,Eno1,->
Atf3,Abcc1,-|
Fos,Npy,->
Smad7,Tgfbr1,-|
Foxl2,Sf1,->
Csnk2a1,Mcm2,->
Fos,Cflar,-|
Twist1,Tp53,-|
Twist1,Fos,->
Rela,Crebbp,->
Rela,Irf4,->
Twist1,Fn1,->
Twist1,Mapk1,->
Twist1,Foxm1,->
Foxm1,Foxa2,->
Twist1,Ar,->
Twist1,Phox2b,-|
Phox2b,Hand2,->
Twist1,Bcl2,->
Ar,Wnt1,->
Twist1,Myb,-|
Myb,Il13,->
Twist1,Mdm2,->
Twist1,Atm,->
Atm,Hsp90aa1,->
Rela,Glrx,->
Glrx,Irf3,->
Twist1,Esr1,-|
Twist1,Runx2,-|
Twist1,Akt2,->
Akt2,Chuk,->
Twist1,Cdkn1a,-|
Twist1,Tcf3,-|
Akt2,Htra2,-|
Foxm1,Cdkn1b,-|
Twist1,Itgb1,->
Itgb1,Cd81,->
Cd81,Gpc3,->
Akt2,Stk3,-|
Atm,Plk1,-|
Itgb1,Pdpk1,->
Atm,Ccar2,->
Atm,Traf6,->
Esr1,Prkcd,->
Twist1,Il6,-|
Twist1,Dkk1,->
Myb,Pax6,->
Twist1,Tnf,->
Twist1,Ppargc1a,-|
Foxm1,Sox2,->
Atm,Ikbkb,->
Twist1,Cdh1,-|
Cdh1,Ctnnb1,->
Phox2b,Hand1,->
Twist1,Epha4,->
Epha4,Efnb3,->
Twist1,Mef2c,->
Mef2c,Maml1,->
Rela,Nfkb1,->
Mapk1,Ddit3,->
Runx2,Lef1,->
Gli1,Runx3,->
Atm,Ezh2,->
Rela,Nr1i2,-|
Rela,Bcl2a1,->
Atm,Tp53bp1,->
Itgb1,Prkaca,->
Atm,Mcm5,->
Atm,Hnf1a,->
Rela,Tnfrsf9,->
Twist1,Cdh5,-|
Rela,Ltb,->
Myb,Wt1,->
Atm,Srf,->
Twist1,Erbb3,-|
Ar,Fcgr1,->
Twist1,Cdkn2a,-|
Cdkn2a,E2f1,-|
Akt2,Gsk3b,-|
Twist1,F2r,-|
F2r,Gnai1,->
Akt2,H3c6,->
Twist1,Nr2f1,->
Nr2f1,Ube2i,->
Twist1,Snai2,->
Mef2c,Ascl1,->
Twist1,Vegfa,->
Nr2f1,Nes,->
Rela,Nfkbiz,->
Atm,Prkdc,->
Rela,Tnfaip3,->
Akt2,Foxo4,-|
Atm,Prkd1,->
Atm,Mcm3,->
Atm,Rims1,->
Atm,Smc3,->
Atm,Sp1,->
Itgb1,Src,->
Myb,Nfib,->
Rela,Stat4,->
Myb,Pim1,->
Atm,Atf2,->
Tcf3,Myod1,->
Myb,Myc,->
Rela,Tank,->
Foxm1,Skp2,->
Rela,Ctsb,->
Twist1,Fgfr2,->
Atm,Afdn,->
Twist1,Il6ra,-|
Rela,Ikbke,->
Rela,Faf1,->
Akt2,Gapdh,->
Myb,Mafb,->
Rela,Il17c,->
Nr2f1,Vtn,->
Rela,Itch,->
Foxm1,Onecut1,->
Twist1,Fgf10,->
Fgf10,Fgfrl1,->
Gli1,Egr2,-|
Rela,Mst1r,->
Twist1,Col2a1,-|
Tcf3,Ntrk2,->
Twist1,Cxcl12,->
Cxcl12,Mtnr1a,->
Runx2,Notch1,-|
Ar,Jun,->
Rela,Tnfrsf4,->
Atm,Nrf1,->
Twist1,Clu,->
Atm,Ehmt2,->
Rela,Cxcl10,->
Foxm1,Krt15,->
Dapk3,Rpl13a,->
Nr2f1,Hnf1b,->
Tcf3,Lmo2,->
Runx2,Tnfsf11,->
Atm,Lmna,->
Rela,Tbx21,->
Dapk3,Myl9,->
Twist1,Snai1,-|
Rela,Tnfrsf18,->
Atm,Dyrk2,->
Atm,Mre11,->
Twist1,Cd44,->
Rela,Birc2,->
Rela,Gfi1,->
Atm,Creb1,-|
Atm,Hipk2,->
Twist1,Mmp2,->
Rela,Stk39,->
Snai2,Foxa1,-|
Rela,Fcgrt,->
Foxm1,Nfatc3,->
Rela,Tnfsf15,->
Mmp2,Sdc2,->
Twist1,Ccl12,->
Ar,Foxo3,-|
Cxcl12,Cxcr4,->
Myb,Pdcd4,->
Atm,Bid,->
Twist1,Tbx20,->
Tbx20,Tbx2,-|
Rela,Il1rn,->
Atm,Daxx,-|
Akt2,H3c11,->
Atm,Ranbp9,->
Ranbp9,Dyrk1b,-|
Mapk1,Cebpa,-|
Atm,Ikbkg,->
Akt2,Eif2ak3,->
Eif2ak3,Atf4,->
Epha4,Cdk5,->
Twist1,Shh,-|
Shh,Gpc1,->
F2r,Gnai3,->
Mapk1,Smad2,->
Foxm1,Aurkb,->
Aurkb,Hdac9,-|
Nr2f1,Nr2f2,->
Akt2,Akt1s1,-|
Foxm1,Ccnd2,->
Rela,Relb,->
Rela,Ripk2,->
Akt2,Stk4,-|
Rela,Vwf,->
Rela,Map3k14,->
Ar,Nr3c1,->
Atm,Id3,->
Mapk1,Smad3,->
Smad6,Peli1,->
Tcf3,Il7r,->
Atm,Akt1,->
Phox2b,Dbh,->
Twist1,Ilk,-|
Mapk1,Ptpn6,-|
Runx2,Cebpd,->
Rela,Irf7,->
Ar,Prkaa1,->
Rela,Il12a,->
Twist1,Icam1,->
Icam1,Cav1,->
Atm,Rassf1,->
Akt2,Pitx2,->
Atm,Rps6,->
Rela,Ppard,-|
Gli1,Nr1h4,-|
Epha4,Fyn,->
Cdkn2a,Bcl2l1,-|
Atm,Pkm,->
Atm,Nbn,->
Akt2,Xiap,->
Atm,Mcm2,->
Twist1,Bmi1,->
Mmp2,Tgfb1,->
Tnfrsf14,Lrfn5,->
Lrfn5,Ptprf,->
Ptprf,Bcar1,-|
Bcar1,Src,->
Lrfn5,Ptprd,->
Ptprd,Stat3,-|
Stat3,Mapk3,->
Stat3,Tp53,-|
Stat3,Prdm1,->
Stat3,Prkcb,->
Ptprf,Fyn,->
Ptprf,Ctnnb1,->
Ptprf,Akt1,-|
Akt1,Foxa2,->
Stat3,Foxo1,->
Ptprf,Dapk1,->
Dapk1,Tp53,->
Akt1,Gsk3b,->
Stat3,Twist1,->
Stat3,Bax,->
Ctnnb1,Pml,->
Stat3,Rb1,-|
Stat3,Vdr,-|
Stat3,Tp63,->
Lrfn5,Ptprs,->
Ikbke,Irf3,->
Akt1,Rara,->
Stat3,Mapk8,->
Akt1,Gata2,-|
Akt1,Creb1,->
Egfr,Esr1,->
Tnfrsf14,Btla,->
Btla,Cd247,->
Cd247,Zap70,->
Zap70,Mapk14,->
Mapk14,Hsf1,->
Ptprf,Insr,->
Stat3,Cdkn1a,->
Stat3,Ppara,->
Ppara,Nr1h3,->
Stat3,Gata4,->
Stat3,Cdkn1b,->
Stat3,Myc,->
Akt1,Foxo1,->
Stat3,Plk1,->
Ptprf,Irs1,->
Irs1,Atm,->
Stat3,Mcl1,->
Mapk14,Casp8,-|
Akt1,Ppp2ca,-|
Stat3,Il6,->
Cd247,Shc1,->
Stat3,Sp1,->
Sp1,Tnfaip1,->
